date	een_jaar_geleden_perwords	afgelopen_jaar_perwords	vorig_jaar_perwords	verleden_jaar_perwords
1918-12-31	0.0	0.0	4.755705360274404	2.377852680137202
1919-12-31				
1920-12-31	0.8844371433175555	1.5919868579716	6.014172574559378	4.952848002578311
1921-12-31	1.2632511093713337	1.579063886714167	7.579506656228001	3.7897533281140006
1922-12-31	1.2083905808371005	0.9062929356278254	7.250343485022603	3.6251717425113017
1923-12-31	0.9714560312523881	1.9429120625047762	6.476373541682587	1.6190933854206468
1924-12-31	0.32330265298924016	3.2330265298924017	10.022382242666446	4.5262371418493625
1925-12-31	1.2562723322036304	4.396953162712707	13.504927571189027	6.909497827119967
1926-12-31	1.3946378962166264	5.113672286127629	9.530025624146946	4.648792987388755
1927-12-31	0.0	4.830697842610344	11.041595068823641	5.290764303811329
1928-12-31	1.7402926476116223	5.718104413581045	11.933435297908268	8.701463238058112
1929-12-31	1.957332883407748	8.416531398653316	10.373864282061064	5.480532073541694
1930-12-31	1.5048703392139806	6.7140368980316065	9.723777576459568	7.524351696069903
1931-12-31	0.6029676378827201	8.923921040664258	10.732823954312419	6.87383107186301
1932-12-31	1.0893318704009771	6.414954347916865	7.988433716273832	6.293917473427867
1933-12-31	0.6586527652877698	5.4887730440647475	10.209117861960431	7.135404957284172
1934-12-31	2.231493490439871	7.86895072944586	11.862149607075104	7.046821548757487
1935-12-31	0.8982461183136102	6.736845887352078	10.44211112539572	6.512284357773674
1936-12-31	1.2527044180151652	6.149639870256264	10.818810882858243	6.605168749534506
1937-12-31	1.3775549914212764	7.806144951387232	12.168402424221274	6.31379371068085
1938-12-31	1.633401003322011	7.840324815945653	13.067208026576088	6.3158172128451096
1939-12-31	1.1335137509386912	8.690272090529966	11.524056467876692	6.612163547142364
1940-12-31	0.4662586126708109	6.760749883726759	12.35585323577649	3.9631982077018924
1941-12-31	0.9794456794528946	4.244264610962544	9.794456794528946	4.897228397264473
1942-12-31	0.4510371034397217	1.8041484137588868	10.3738533791136	6.765556551595825
1943-12-31	1.547315755310581	5.415605143587034	20.115104819037555	10.057552409518777
1944-12-31	2.035287820227097	1.0176439101135486	3.0529317303406462	3.0529317303406462
1945-12-31	3.253887853670494	1.0846292845568313	4.338517138227325	2.1692585691136625
1946-12-31	4.1985670290729775	2.6241043931706107	3.6737461504388556	2.6241043931706107
1947-12-31	1.250175805972715	1.8752637089590725	6.875966932849932	6.875966932849932
1948-12-31	2.3423132744456256	3.806259070974142	14.63945796528516	4.977415708196954
1949-12-31	1.001875845541469	4.007503382165876	14.360220452761054	10.686675685775667
1950-12-31	1.4468140311060194	4.099306421467055	13.744733295507183	6.269527468126085
1951-12-31	0.8196143550536601	4.0980717752683	13.79684164340328	11.884408148278071
1952-12-31	1.4335912320517636	7.428609111540957	14.987544698722983	9.383506246156998
1953-12-31	0.6680274385590114	4.342178350633574	14.028576209739239	5.678233227751597
1954-12-31	3.1691508517786167	7.031553452383806	14.360214797121856	7.724805201210377
1955-12-31	1.3444977669960547	8.790946938051128	13.031286049346377	9.411484368972385
1956-12-31	2.465017802563988	12.325089012819943	14.995524965597594	5.648999130875806
1957-12-31				
1958-12-31				
1959-12-31				
1960-12-31				
1961-12-31				
1962-12-31	2.0482630357045766	7.2620234902253165	22.251584796972445	8.6585664691148
1963-12-31	1.7245361834573765	5.985154989646189	20.085774372032972	11.564536759655349
1964-12-31	1.4907792111264946	4.791790321478018	23.32004623119302	10.967875624716353
1965-12-31	1.7084243543864364	6.71980246058665	24.259625832287398	11.958970480705055
1966-12-31	2.7016330020681	7.9923309644514635	23.86442485160155	6.3038103381589
1967-12-31	2.30511181596308	7.115779953625159	31.570009653407396	7.9175579765688395
1968-12-31	1.6927674816578686	5.476600675951928	34.85109521060318	9.360008427990568
1969-12-31	3.012962366693991	7.5324059167349775	32.5399935602951	9.340183336751371
1970-12-31	2.7706337755495722	7.916096501570206	38.88782406396364	10.093023039502015
1971-12-31	2.1510122448523052	5.592631836615993	34.73884775436473	7.636093469225682
1972-12-31	2.478899980589135	6.466695601536875	35.13571276835035	6.897808641639333
1973-12-31	1.3807812247741893	5.098269137627775	33.88224697715126	8.497115229379625
1974-12-31	2.859692722585327	3.431631267102392	36.375291431285355	6.520099407494546
1975-12-31	2.724903138578977	4.620487930633918	35.779162950037005	6.160650574178557
1976-12-31	1.2375281908921885	9.033955793512977	47.52108253026004	6.682652230817818
1977-12-31	2.3290887121696233	6.98726613650887	36.89766854542403	5.148511890059168
1978-12-31	2.4365949268144345	6.456976556058253	39.71649730707529	8.040763258487635
1979-12-31	1.8760612937365582	5.159168557775535	35.52791075013607	6.097199204643815
1980-12-31	2.1012555222930493	3.649549065035296	39.149708152196816	6.193174170968987
1981-12-31	1.6556988444641236	4.139247111160309	40.56462168937103	4.375775517512326
1982-12-31	2.0136649673703357	4.0273299347406715	45.485138086482884	5.80409314124391
1983-12-31	1.7612265275469918	3.5224530550939837	45.79188971622179	8.45388733222556
1984-12-31	2.0719515089677514	5.755420858243754	40.978596510695525	6.215854526903255
1985-12-31	3.0188028739419748	4.476155985500169	51.31964885701357	6.453992351186291
1986-12-31	2.2866089321108793	5.3685601014777165	52.69142321820721	4.175546745593779
1987-12-31	2.7034861453844736	4.405681125811735	49.46378354888628	6.708650805213323
1988-12-31	2.6897335456843483	6.103626122899098	55.13953768652914	3.8276977380892654
1989-12-31	2.509744629119214	8.51130787266516	51.72256322619597	3.0553412876233907
