date	twee_perwords	drie_perwords	vier_perwords	vijf_perwords	zes_perwords	zeven_perwords	acht_perwords	negen_perwords	tien_perwords	elf_perwords	twaalf_perwords	dertien_perwords	veertien_perwords	vijftien_perwords	zestien_perwords	zeventien_perwords	achttien_perwords	negentien_perwords	twintig_perwords	dertig_perwords	veertig_perwords	vijftig_perwords	zestig_perwords	zeventig_perwords	tachtig_perwords	negentig_perwords	honderd_perwords	honderdtien_perwords	honderdtwintig_perwords	honderddertig_perwords	honderdveertig_perwords	honderdvijftig_perwords	honderdzestig_perwords	honderdzeventig_perwords	honderdtachtig_perwords	honderdnegentig_perwords	tweehonderd_perwords
1945-12-31	0.0	0.0	0.0	8.894647349469212	0.0	0.0	0.0	0.0	8.894647349469212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1946-12-31	1.2691436725029144	0.5439187167869634	0.36261247785797557	1.5411030308963962	2.356981106076841	0.815878075180445	0.0	0.0	1.0878374335739267	0.0	0.0	0.0	0.0	0.36261247785797557	0.18130623892898778	0.0	0.0	0.0	0.7252249557159511	0.36261247785797557	0.9065311946449389	0.18130623892898778	0.5439187167869634	0.18130623892898778	0.0	0.0	0.7252249557159511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1947-12-31	1.868208238842291	0.659367613709044	0.43957840913936264	2.5275758525513354	0.329683806854522	0.5494730114242032	0.0	0.0	1.318735227418088	0.21978920456968132	0.0	0.0	0.21978920456968132	0.43957840913936264	0.0	0.0	0.0	0.0	1.7583136365574505	1.9781028411271318	0.21978920456968132	0.659367613709044	0.21978920456968132	0.21978920456968132	0.0	0.0	2.0879974434119726	0.0	0.21978920456968132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21978920456968132
1948-12-31	1.7626599870992874	1.1751066580661915	0.3917022193553972	5.385905516136711	0.48962777419424647	0.7834044387107943	1.1751066580661915	0.3917022193553972	1.5668088774215887	0.0	0.0	0.0	0.0	0.3917022193553972	0.0	0.1958511096776986	0.3917022193553972	0.0	1.7626599870992874	0.3917022193553972	0.3917022193553972	2.5460644258100817	0.1958511096776986	0.1958511096776986	0.0	0.0	2.056436651615835	0.0	0.0	0.0	0.0	0.1958511096776986	0.0	0.0	0.0	0.0	0.0
1949-12-31	1.8172179584343697	1.0095655324635386	0.6057393194781233	4.94687110907134	2.0191310649270773	0.6057393194781233	0.8076524259708311	0.6057393194781233	3.432522810376032	0.0	0.6057393194781233	0.20191310649270777	0.20191310649270777	0.8076524259708311	0.0	0.0	0.40382621298541554	0.0	1.8172179584343697	1.0095655324635386	1.4133917454489542	1.4133917454489542	0.8076524259708311	0.40382621298541554	0.0	0.0	2.4229572779124933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40382621298541554
1950-12-31	4.447578999288054	1.3342736997864162	0.8895157998576108	3.558063199430443	1.4454631747686173	0.0	0.6671368498932081	0.0	4.225200049323651	0.0	0.4447578999288054	0.4447578999288054	0.4447578999288054	0.6671368498932081	0.0	0.0	0.0	0.0	0.6671368498932081	1.7790315997152215	0.4447578999288054	0.6671368498932081	0.6671368498932081	0.0	0.0	0.0	2.334978974626228	0.0	0.0	0.0	0.0	0.2223789499644027	0.0	0.0	0.0	0.0	0.4447578999288054
1951-12-31	2.685279370785338	0.6196798547966165	0.4131199031977443	2.478719419186466	1.342639685392669	0.5163998789971803	0.0	0.0	1.8590395643898494	0.20655995159887214	0.0	0.0	0.0	0.4131199031977443	0.20655995159887214	0.0	0.0	0.0	0.4131199031977443	1.239359709593233	0.0	0.8262398063954886	0.4131199031977443	0.20655995159887214	0.20655995159887214	0.0	0.4131199031977443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1952-12-31	2.389598262578248	1.2867067567729027	0.5514457529026726	4.779196525156496	1.2867067567729027	2.297690637094469	0.36763050193511504	0.0	1.8381525096755753	0.36763050193511504	0.18381525096755752	0.0	0.0	0.36763050193511504	0.18381525096755752	0.5514457529026726	0.0	0.0	1.1028915058053452	0.9190762548377877	1.1028915058053452	1.4705220077404602	0.18381525096755752	0.7352610038702301	0.0	0.0	1.8381525096755753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1953-12-31	2.309118188173505	1.319496107527717	0.32987402688192924	1.4019646142481994	1.2370276008072347	0.32987402688192924	0.6597480537638585	0.32987402688192924	2.309118188173505	0.16493701344096462	0.0	0.0	0.32987402688192924	0.32987402688192924	0.0	0.0	0.0	0.0	0.6597480537638585	0.6597480537638585	0.9896220806457877	0.16493701344096462	0.49481104032289386	0.0	0.0	0.0	1.814307147850611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1954-12-31	2.3390987920174116	0.7197227052361266	0.539792028927095	2.2491334538628958	0.9896187196996741	0.17993067630903165	0.3598613526180633	0.17993067630903165	4.138405555107728	0.17993067630903165	0.17993067630903165	0.3598613526180633	0.17993067630903165	0.17993067630903165	0.17993067630903165	0.0	0.0	0.0	2.6989601446354747	1.2595147341632216	0.17993067630903165	0.3598613526180633	0.0	0.0	0.0	0.0	1.9792374393993482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
