date	een_perwords	twee_perwords	drie_perwords	vier_perwords	vijf_perwords	zes_perwords	zeven_perwords	acht_perwords	negen_perwords	tien_perwords	elf_perwords	twaalf_perwords	dertien_perwords	veertien_perwords	vijftien_perwords	zestien_perwords	zeventien_perwords	achttien_perwords	negentien_perwords	twintig_perwords	dertig_perwords	veertig_perwords	vijftig_perwords	zestig_perwords	zeventig_perwords	tachtig_perwords	negentig_perwords	honderd_perwords	honderdtien_perwords	honderdtwintig_perwords	honderddertig_perwords	honderdveertig_perwords	honderdvijftig_perwords	honderdzestig_perwords	honderdzeventig_perwords	honderdtachtig_perwords	honderdnegentig_perwords	tweehonderd_perwords
1893-12-31	0.0	0.6491125009330992	0.0	0.1622781252332748	0.0	0.1622781252332748	0.1622781252332748	0.0	0.0	0.3245562504665496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48683437569982446	0.0	0.0	0.0	0.1622781252332748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1894-12-31	0.419676739794406	0.419676739794406	0.0	0.0	0.27978449319627063	0.0	0.0	0.13989224659813532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27978449319627063	0.27978449319627063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1895-12-31	0.09648812182976214	0.09648812182976214	0.09648812182976214	0.09648812182976214	0.2894643654892864	0.09648812182976214	0.0	0.0	0.09648812182976214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3859524873190486	0.09648812182976214	0.1929762436595243	0.09648812182976214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1896-12-31	0.23064461171133382	0.3844076861855563	0.23064461171133382	0.0	0.23064461171133382	0.23064461171133382	0.0	0.15376307447422255	0.07688153723711127	0.23064461171133382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07688153723711127	0.3075261489484451	0.15376307447422255	0.0	0.07688153723711127	0.15376307447422255	0.0	0.15376307447422255	0.0	0.15376307447422255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1897-12-31	0.7745830002626433	0.47666646170008814	0.05958330771251102	0.05958330771251102	0.3574998462750661	0.11916661542502203	0.05958330771251102	0.05958330771251102	0.05958330771251102	0.5362497694125992	0.05958330771251102	0.17874992313753305	0.05958330771251102	0.0	0.05958330771251102	0.0	0.0	0.0	0.0	0.5958330771251101	0.29791653856255507	0.11916661542502203	0.05958330771251102	0.05958330771251102	0.05958330771251102	0.0	0.0	0.23833323085004407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1898-12-31	0.3919937625952496	0.32666146882937463	0.13066458753174987	0.1959968812976248	0.32666146882937463	0.0	0.06533229376587493	0.32666146882937463	0.06533229376587493	0.26132917506349973	0.0	0.0	0.06533229376587493	0.0	0.06533229376587493	0.0	0.0	0.0	0.0	0.32666146882937463	0.06533229376587493	0.0	0.0	0.0	0.0	0.0	0.06533229376587493	0.06533229376587493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1899-12-31	0.34686636302756063	0.23124424201837374	0.23124424201837374	0.34686636302756063	0.34686636302756063	0.0	0.0	0.0	0.11562212100918687	0.11562212100918687	0.11562212100918687	0.0	0.0	0.0	0.11562212100918687	0.0	0.0	0.0	0.0	0.11562212100918687	0.23124424201837374	0.11562212100918687	0.11562212100918687	0.0	0.0	0.0	0.11562212100918687	0.23124424201837374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1900-12-31	0.5513579601960904	0.2756789800980452	0.0	0.1378394900490226	0.1378394900490226	0.0	0.0	0.0	0.0	0.1378394900490226	0.0	0.1378394900490226	0.0	0.0	0.1378394900490226	0.0	0.0	0.0	0.0	0.2756789800980452	0.0	0.2756789800980452	0.0	0.0	0.0	0.0	0.0	0.1378394900490226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1901-12-31	0.9213743521377183	0.4188065236989629	0.0	0.0	0.16752260947958517	0.08376130473979258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08376130473979258	0.16752260947958517	0.0	0.0	0.0	0.0	0.0	0.16752260947958517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08376130473979258
1902-12-31	0.733740112737334	0.2751525422765002	0.2751525422765002	0.1834350281843335	0.1834350281843335	0.09171751409216675	0.0	0.0	0.09171751409216675	0.09171751409216675	0.0	0.1834350281843335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2751525422765002	0.45858757046083376	0.09171751409216675	0.1834350281843335	0.0	0.0	0.0	0.0	0.09171751409216675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1903-12-31	0.4409819035358701	0.11024547588396752	0.0	0.11024547588396752	0.0	0.0	0.0	0.22049095176793504	0.11024547588396752	0.3307364276519026	0.0	0.11024547588396752	0.0	0.0	0.0	0.0	0.0	0.11024547588396752	0.0	0.22049095176793504	0.11024547588396752	0.0	0.0	0.0	0.0	0.0	0.0	0.22049095176793504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11024547588396752
