date	twee_nor	drie_nor	vier_nor	vijf_nor	zes_nor	zeven_nor	acht_nor	negen_nor	tien_nor	elf_nor	twaalf_nor	dertien_nor	veertien_nor	vijftien_nor	zestien_nor	zeventien_nor	achttien_nor	negentien_nor	twintig_nor	dertig_nor	veertig_nor	vijftig_nor	zestig_nor	zeventig_nor	tachtig_nor	negentig_nor	honderd_nor	honderdtien_nor	honderdtwintig_nor	honderddertig_nor	honderdveertig_nor	honderdvijftig_nor	honderdzestig_nor	honderdzeventig_nor	honderdtachtig_nor	honderdnegentig_nor	tweehonderd_nor
1945-12-31	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1946-12-31	0.10852713178294573	0.046511627906976744	0.031007751937984496	0.13178294573643412	0.20155038759689922	0.06976744186046512	0.0	0.0	0.09302325581395349	0.0	0.0	0.0	0.0	0.031007751937984496	0.015503875968992248	0.0	0.0	0.0	0.06201550387596899	0.031007751937984496	0.07751937984496124	0.015503875968992248	0.046511627906976744	0.015503875968992248	0.0	0.0	0.06201550387596899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1947-12-31	0.14285714285714285	0.05042016806722689	0.03361344537815126	0.19327731092436976	0.025210084033613446	0.04201680672268908	0.0	0.0	0.10084033613445378	0.01680672268907563	0.0	0.0	0.01680672268907563	0.03361344537815126	0.0	0.0	0.0	0.0	0.13445378151260504	0.15126050420168066	0.01680672268907563	0.05042016806722689	0.01680672268907563	0.01680672268907563	0.0	0.0	0.15966386554621848	0.0	0.01680672268907563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01680672268907563
1948-12-31	0.12080536912751678	0.08053691275167785	0.026845637583892617	0.3691275167785235	0.03355704697986577	0.053691275167785234	0.08053691275167785	0.026845637583892617	0.10738255033557047	0.0	0.0	0.0	0.0	0.026845637583892617	0.0	0.013422818791946308	0.026845637583892617	0.0	0.12080536912751678	0.026845637583892617	0.026845637583892617	0.174496644295302	0.013422818791946308	0.013422818791946308	0.0	0.0	0.14093959731543623	0.0	0.0	0.0	0.0	0.013422818791946308	0.0	0.0	0.0	0.0	0.0
1949-12-31	0.0989010989010989	0.054945054945054944	0.03296703296703297	0.2692307692307692	0.10989010989010989	0.03296703296703297	0.04395604395604396	0.03296703296703297	0.18681318681318682	0.0	0.03296703296703297	0.01098901098901099	0.01098901098901099	0.04395604395604396	0.0	0.0	0.02197802197802198	0.0	0.0989010989010989	0.054945054945054944	0.07692307692307693	0.07692307692307693	0.04395604395604396	0.02197802197802198	0.0	0.0	0.13186813186813187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02197802197802198
1950-12-31	0.26666666666666666	0.08	0.05333333333333334	0.21333333333333335	0.08666666666666667	0.0	0.04	0.0	0.25333333333333335	0.0	0.02666666666666667	0.02666666666666667	0.02666666666666667	0.04	0.0	0.0	0.0	0.0	0.04	0.10666666666666667	0.02666666666666667	0.04	0.04	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.02666666666666667
1951-12-31	0.17333333333333334	0.04	0.02666666666666667	0.16	0.08666666666666667	0.03333333333333333	0.0	0.0	0.12	0.013333333333333334	0.0	0.0	0.0	0.02666666666666667	0.013333333333333334	0.0	0.0	0.0	0.02666666666666667	0.08	0.0	0.05333333333333334	0.02666666666666667	0.013333333333333334	0.013333333333333334	0.0	0.02666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1952-12-31	0.13402061855670103	0.07216494845360824	0.030927835051546393	0.26804123711340205	0.07216494845360824	0.12886597938144329	0.020618556701030927	0.0	0.10309278350515463	0.020618556701030927	0.010309278350515464	0.0	0.0	0.020618556701030927	0.010309278350515464	0.030927835051546393	0.0	0.0	0.061855670103092786	0.05154639175257732	0.061855670103092786	0.08247422680412371	0.010309278350515464	0.041237113402061855	0.0	0.0	0.10309278350515463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1953-12-31	0.13930348258706468	0.07960199004975124	0.01990049751243781	0.0845771144278607	0.07462686567164178	0.01990049751243781	0.03980099502487562	0.01990049751243781	0.13930348258706468	0.009950248756218905	0.0	0.0	0.01990049751243781	0.01990049751243781	0.0	0.0	0.0	0.0	0.03980099502487562	0.03980099502487562	0.05970149253731343	0.009950248756218905	0.029850746268656716	0.0	0.0	0.0	0.10945273631840796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1954-12-31	0.13402061855670103	0.041237113402061855	0.030927835051546393	0.12886597938144329	0.05670103092783505	0.010309278350515464	0.020618556701030927	0.010309278350515464	0.23711340206185566	0.010309278350515464	0.010309278350515464	0.020618556701030927	0.010309278350515464	0.010309278350515464	0.010309278350515464	0.0	0.0	0.0	0.15463917525773196	0.07216494845360824	0.010309278350515464	0.020618556701030927	0.0	0.0	0.0	0.0	0.1134020618556701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
