date	een_jaar_geleden_perwords	afgelopen_jaar_perwords	vorig_jaar_perwords	verleden_jaar_perwords
1893-12-31	0.0	0.6491125009330992	13.14452814389526	6.166568758864443
1894-12-31	0.419676739794406	1.2590302193832177	7.833965809495578	4.336659644542195
1895-12-31	0.09648812182976214	0.9648812182976214	9.745300304805976	3.4735723858714374
1896-12-31	0.23064461171133382	2.306446117113338	11.070941362144024	4.22848454804112
1897-12-31	0.7745830002626433	4.170831539875771	17.934575621465815	7.686246694913921
1898-12-31	0.3919937625952496	2.743956338166747	9.93050865241299	4.965254326206495
1899-12-31	0.34686636302756063	2.3124424201837375	9.018525438716576	4.624884840367475
1900-12-31	0.5513579601960904	1.2405554104412035	7.994690422843312	1.9297528606863168
1901-12-31	0.9213743521377183	2.5128391421937772	12.396673101489302	4.355587846469214
1902-12-31	0.733740112737334	2.476372880488502	11.28125423333651	3.852135591871003
1903-12-31	0.4409819035358701	1.7639276141434803	8.378656167181532	3.3073642765190256
1904-12-31	0.0	1.9351423639580032	6.698569721393088	3.423713413156467
1905-12-31	0.5759441380261645	0.8639162070392469	9.503078277431715	3.4556648281569875
1906-12-31	0.18178380815264022	1.2724866570684816	8.54383898317409	4.726379011968646
1907-12-31	0.7137720169351588	1.0196743099073697	17.84430042337897	4.078697239629479
1908-12-31	0.5347792337736617	2.941285785755139	17.514019906087416	6.149961188397109
1909-12-31	0.18922972526493106	1.8922972526493107	13.056851043280243	3.7845945052986214
1910-12-31	0.3458456444775944	2.190355748358098	15.217208357014153	4.150147733731132
1911-12-31	0.26417765524631065	1.3208882762315532	17.83199172912597	4.22684248394097
1912-12-31	0.30649377557115887	1.7367980615699	17.47014520755605	3.4735961231398
1913-12-31	0.6312598431445541	1.7134195742495042	20.019955025441575	5.050078745156433
1914-12-31	0.6636765824372594	0.9955148736558891	10.121067882168205	3.3183829121862964
1915-12-31	1.6003605022605092	3.958786505591786	15.666687022129194	6.06452400856614
1916-12-31	0.6911398122276802	2.5917742958538	13.563618814968223	4.233231349894541
1917-12-31	0.9073156448024217	2.8869134152804325	14.35208383596558	4.2066452622657735
1918-12-31	1.6784789623643055	3.2170846778649187	13.70757819264183	2.9373381841375346
1919-12-31	1.3318858398026359	1.7980458837335584	12.519726894144776	2.930148847565799
1920-12-31	1.7526092495986174	4.206262199036682	13.950769626804995	3.9258447191009025
1921-12-31	0.9191703078577111	2.9873035005375614	16.62166306709361	3.6766812314308446
1922-12-31	1.3183343393238445	4.2592340193539595	18.355270416739682	5.37474769108952
1923-12-31	0.8953895162646947	4.0292528231911255	13.878537502102766	3.021939617393344
1924-12-31	1.3248809048967753	5.3774577904633825	24.315461313399645	8.72862713814346
1925-12-31	1.2743652259373084	2.421293929280886	25.99705060912109	5.607206994124156
1926-12-31	1.7089708567734962	6.396433778209372	28.222433006145167	6.347606039444415
1927-12-31	1.1794913475731537	7.827533488440021	20.587485339458684	7.505854030010977
1928-12-31	1.2198992049568338	7.319395229741003	16.991453211898754	5.925224709790336
1929-12-31	1.2108478405013103	9.44461315591022	15.983191494617298	8.233765315408911
1930-12-31	2.932740349527661	8.614924776737503	19.61270108746623	10.264591223346814
1931-12-31	3.784307617805031	8.623258342211464	26.86238030343571	10.546431066014021
1932-12-31	1.7035967274024357	6.638152765395697	34.718126410166875	9.046686069654314
1933-12-31	2.692818457827178	9.10172638745586	37.484032932954314	9.586433709864753
1934-12-31	3.0377090637225956	8.62885473173375	40.59083705438019	8.760929038852122
1935-12-31	2.5205151490337574	7.807449364080175	41.49628599018991	8.422209156527433
1936-12-31	3.873409958579452	9.391692639295382	40.113670255973496	9.869236332818877
1937-12-31	3.6989684760590182	9.469359298711087	40.935251135053136	9.12412224094558
1938-12-31	5.171673482099589	7.23157732666468	37.77951306415123	9.291481171229771
1939-12-31	4.510890786316848	8.331339105340302	34.89035934722623	7.456778646768667
1940-12-31	1.9920305497805115	4.205397827314413	23.68302986961275	4.592737100882846
1941-12-31	2.3059397934492862	5.600139498376838	23.608431218647453	5.600139498376838
1942-12-31	1.4644405461850682	5.308596979920873	18.12245175904022	4.942486843374605
1943-12-31	1.075308900403456	4.301235601613824	20.430869107665664	5.734980802151765
1944-12-31	1.1722623960887073	5.861311980443537	16.80242767727147	5.470557848413968
1945-12-31	0.0	3.8475448816110442	3.8475448816110442	0.0
1946-12-31				
1947-12-31				
1948-12-31				
1949-12-31	1.2866590610819943	3.002204475857987	11.579931549737951	4.2888635369399815
1950-12-31	1.3951959850825644	2.4098839742335207	16.10817182777143	3.8050799593160853
1951-12-31	1.9084377376004984	3.816875475200997	16.030876995844185	3.816875475200997
1952-12-31	2.127986016578288	2.766381821551774	16.811089530968474	5.532763643103548
1953-12-31	1.841177003085506	2.9663407271933147	15.854579748791854	4.9098053415613485
1954-12-31	1.8132418492378997	2.1332257049857644	17.279128210384695	3.1998385574786465
1955-12-31	1.6459604837807054	3.0724595697239834	18.76394951510004	4.389227956748548
1956-12-31	2.3204642961761066	2.983454095083566	17.127236471776026	4.198935393080575
1957-12-31	2.55928885893573	4.158844395770562	19.407940513595953	4.692029574715506
1958-12-31	2.7562405260857497	3.604314534112134	21.837905706679397	4.664407044145114
1959-12-31	3.240814017210604	3.554441180166469	21.22210469334686	4.181695506078198
1960-12-31	3.122911552898999	3.851590915242099	24.35871011261219	4.892561432875098
1961-12-31	2.589677007930346	4.208225137886813	21.472738524089124	4.531934763878106
1962-12-31	2.803042746024544	3.6655174371090196	24.203196018558085	5.552180823856308
